business_id,business_name,category,quarter,count,rating,,,category,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),7/1/15,63,4.3,,,American (Traditional),,4.3
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),7/1/16,44,4,,,French,,4
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),4/1/13,40,4,,,Italian,,4
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),4/1/15,55,4.3,,,Chinese,,4.3
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),7/1/14,57,4.2,,,Mexican,,4.2
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),1/1/12,49,4.3,,,Vietnamese,,4.3
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),7/1/12,47,3.9,,,Greek,,3.9
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),7/1/13,63,4.1,,,Japanese,,4.1
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),10/1/12,21,3.7,,,Thai,,3.7
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),1/1/17,51,4.1,,,Indian,,4.1
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),1/1/14,68,4,,,Mediterranean,,4
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),1/1/15,48,4,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),10/1/15,48,4.1,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),1/1/16,48,4,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),4/1/14,67,3.6,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),10/1/13,51,3.9,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),10/1/16,33,4,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),10/1/14,44,4.1,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),4/1/12,47,3.9,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),4/1/16,58,4,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),4/1/17,46,4.3,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),1/1/13,37,4.2,,,,,
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),7/1/17,13,4.5,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),4/1/12,35,3.9,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),7/1/12,40,4.2,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),7/1/15,45,4.1,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),7/1/16,29,4.6,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),7/1/14,49,4,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),10/1/10,39,4.2,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),10/1/13,25,3.9,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),4/1/16,28,4.3,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),1/1/14,41,4.4,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),10/1/14,39,4.2,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),1/1/17,41,4.2,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),4/1/11,54,4.2,,,,,
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),7/1/11,63,3.9,,,,,
