business_id,business_name,category,quarter,count,rating,quarter123
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),6-Jan,3,4.3,1-Jan-06
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),6-Jan,1,4,1-Jan-06
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),6-Jan,3,4,1-Jan-06
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),6-Jan,2,3.5,1-Jan-06
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,American (Traditional),6-Jan,4,2.5,1-Jan-06
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,American (Traditional),6-Jan,3,3.7,1-Jan-06
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,American (Traditional),7-Jan,2,4.5,1-Jan-07
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),7-Jan,10,3.8,1-Jan-07
JTFFtWy_chbsHTs95yD_2Q,Cafe Bellagio,American (Traditional),7-Jan,4,3.2,1-Jan-07
zU9w_xRlQSRIYXxGo-HSOA,Carnegie,American (Traditional),7-Jan,4,3.8,1-Jan-07
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,American (Traditional),7-Jan,7,4.4,1-Jan-07
3kdSl5mo9dWC4clrQjEDGg,Egg & I,American (Traditional),7-Jan,1,5,1-Jan-07
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),7-Jan,3,4.7,1-Jan-07
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),7-Jan,9,4,1-Jan-07
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),7-Jan,1,5,1-Jan-07
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),7-Jan,4,2.5,1-Jan-07
rTS8LsUmNIiXsXydE49tPA,Margaritaville,American (Traditional),7-Jan,4,2.8,1-Jan-07
#NAME?,MGM Grand Buffet,American (Traditional),7-Jan,3,3.7,1-Jan-07
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,American (Traditional),7-Jan,2,3.5,1-Jan-07
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,American (Traditional),7-Jan,5,3.4,1-Jan-07
XXW_OFaYQkkGOGniujZFHg,The Peppermill Restaurant & Fireside Lounge,American (Traditional),7-Jan,11,4.1,1-Jan-07
R_ZlcX46pPdjhjmfd043LA,Top of the World,American (Traditional),7-Jan,5,4,1-Jan-07
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,American (Traditional),8-Jan,14,3.8,1-Jan-08
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),8-Jan,29,4.1,1-Jan-08
JTFFtWy_chbsHTs95yD_2Q,Cafe Bellagio,American (Traditional),8-Jan,8,3.5,1-Jan-08
zU9w_xRlQSRIYXxGo-HSOA,Carnegie,American (Traditional),8-Jan,7,3.1,1-Jan-08
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,American (Traditional),8-Jan,9,3.3,1-Jan-08
3kdSl5mo9dWC4clrQjEDGg,Egg & I,American (Traditional),8-Jan,2,4,1-Jan-08
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),8-Jan,11,3.8,1-Jan-08
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),8-Jan,33,4.3,1-Jan-08
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),8-Jan,3,4.3,1-Jan-08
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),8-Jan,8,1.9,1-Jan-08
UNI1agsPX2k3eJSJVB91nw,Hot N Juicy Crawfish,American (Traditional),8-Jan,4,4.2,1-Jan-08
DbEszO3wk1xVmN3pCPob2g,Jamms Restaurant,American (Traditional),8-Jan,2,4.5,1-Jan-08
rTS8LsUmNIiXsXydE49tPA,Margaritaville,American (Traditional),8-Jan,12,3.3,1-Jan-08
#NAME?,MGM Grand Buffet,American (Traditional),8-Jan,10,2,1-Jan-08
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,American (Traditional),8-Jan,3,4.3,1-Jan-08
Qc0l8rZ3nvrcERitgxu8XA,Omelet House,American (Traditional),8-Jan,2,5,1-Jan-08
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,American (Traditional),8-Jan,6,3.7,1-Jan-08
XXW_OFaYQkkGOGniujZFHg,The Peppermill Restaurant & Fireside Lounge,American (Traditional),8-Jan,15,4.2,1-Jan-08
R_ZlcX46pPdjhjmfd043LA,Top of the World,American (Traditional),8-Jan,5,4.2,1-Jan-08
A5Rkh7UymKm0_Rxm9K2PJw,Yard House,American (Traditional),8-Jan,2,3.5,1-Jan-08
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,American (Traditional),9-Jan,13,3.7,1-Jan-09
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),9-Jan,57,4,1-Jan-09
JTFFtWy_chbsHTs95yD_2Q,Cafe Bellagio,American (Traditional),9-Jan,9,3.3,1-Jan-09
zU9w_xRlQSRIYXxGo-HSOA,Carnegie,American (Traditional),9-Jan,7,3.1,1-Jan-09
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,American (Traditional),9-Jan,17,3.3,1-Jan-09
3kdSl5mo9dWC4clrQjEDGg,Egg & I,American (Traditional),9-Jan,20,4.1,1-Jan-09
PXShA3JZMXr2mEH3on5clw,Egg Works,American (Traditional),9-Jan,1,4,1-Jan-09
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),9-Jan,25,4.3,1-Jan-09
fHM09_y3QX3n4a_bIFbk_w,Grand Lux Cafe,American (Traditional),9-Jan,12,3.8,1-Jan-09
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),9-Jan,41,3.9,1-Jan-09
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),9-Jan,13,4.2,1-Jan-09
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),9-Jan,14,2.4,1-Jan-09
UNI1agsPX2k3eJSJVB91nw,Hot N Juicy Crawfish,American (Traditional),9-Jan,14,4.3,1-Jan-09
DbEszO3wk1xVmN3pCPob2g,Jamms Restaurant,American (Traditional),9-Jan,1,5,1-Jan-09
rTS8LsUmNIiXsXydE49tPA,Margaritaville,American (Traditional),9-Jan,26,3.4,1-Jan-09
#NAME?,MGM Grand Buffet,American (Traditional),9-Jan,20,2.3,1-Jan-09
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,American (Traditional),9-Jan,9,4,1-Jan-09
Qc0l8rZ3nvrcERitgxu8XA,Omelet House,American (Traditional),9-Jan,5,4.2,1-Jan-09
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,American (Traditional),9-Jan,14,4.1,1-Jan-09
XXW_OFaYQkkGOGniujZFHg,The Peppermill Restaurant & Fireside Lounge,American (Traditional),9-Jan,26,3.6,1-Jan-09
R_ZlcX46pPdjhjmfd043LA,Top of the World,American (Traditional),9-Jan,14,3.6,1-Jan-09
A5Rkh7UymKm0_Rxm9K2PJw,Yard House,American (Traditional),9-Jan,9,3.8,1-Jan-09
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,American (Traditional),10-Jan,18,3.2,1-Jan-10
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),10-Jan,88,4,1-Jan-10
JTFFtWy_chbsHTs95yD_2Q,Cafe Bellagio,American (Traditional),10-Jan,18,3.1,1-Jan-10
zU9w_xRlQSRIYXxGo-HSOA,Carnegie,American (Traditional),10-Jan,14,3.1,1-Jan-10
